lncrna_id,partner_id,partner_name,pearson_r,pvalue
Cp_V2_contig_12238,Cp_V2_contig_10455,.,0.9896,0.0
Cp_V2_contig_12238,Cp_V2_contig_13481,.,0.9771,1e-06
Cp_V2_contig_12238,Cp_V2_contig_1105,.,0.977,1e-06
Cp_V2_contig_12238,Cp_V2_contig_5559,.,0.9759,1e-06
Cp_V2_contig_12238,Cp_V2_contig_20690,.,0.9737,2e-06
Cp_V2_contig_12238,Cp_V2_contig_6438,.,0.9728,2e-06
Cp_V2_contig_12238,Cp_V2_contig_17427,.,0.9722,3e-06
Cp_V2_contig_12238,Cp_V2_contig_1013,.,0.9716,3e-06
Cp_V2_contig_12238,Cp_V2_contig_3575,.,0.9693,4e-06
Cp_V2_contig_12238,Cp_V2_contig_25937,.,0.9686,4e-06
Cp_V2_contig_12238,Cp_V2_contig_16567,.,0.9665,5e-06
Cp_V2_contig_12238,Cp_V2_contig_21613,.,0.9653,6e-06
Cp_V2_contig_12238,Cp_V2_contig_11464,.,0.9645,7e-06
Cp_V2_contig_12238,Cp_V2_contig_13148,.,0.9626,8e-06
Cp_V2_contig_12238,Cp_V2_contig_47834,.,0.9626,8e-06
Cp_V2_contig_12238,Cp_V2_contig_6241,.,0.9623,8e-06
Cp_V2_contig_12238,Cp_V2_contig_22977,.,0.9603,1e-05
Cp_V2_contig_12238,Cp_V2_contig_20231,.,0.9602,1e-05
Cp_V2_contig_12238,Cp_V2_contig_47327,.,0.9594,1.1e-05
Cp_V2_contig_12238,Cp_V2_contig_44182,.,0.9586,1.2e-05
Cp_V2_contig_12238,Cp_V2_contig_7514,.,0.9583,1.3e-05
Cp_V2_contig_12238,Cp_V2_contig_1545,.,0.9579,1.3e-05
Cp_V2_contig_12238,Cp_V2_contig_26531,.,0.9555,1.6e-05
Cp_V2_contig_12238,Cp_V2_contig_1,.,0.9551,1.7e-05
Cp_V2_contig_12238,Cp_V2_contig_28879,.,0.9546,1.8e-05
Cp_V2_contig_12238,Cp_V2_contig_24876,.,0.9538,1.9e-05
Cp_V2_contig_12238,Cp_V2_contig_16337,.,0.9535,1.9e-05
Cp_V2_contig_12238,Cp_V2_contig_20784,.,0.9529,2e-05
Cp_V2_contig_12238,Cp_V2_contig_21764,.,0.9526,2.1e-05
Cp_V2_contig_12238,Cp_V2_contig_5702,.,0.9516,2.3e-05
Cp_V2_contig_12238,Cp_V2_contig_377,.,0.9514,2.3e-05
Cp_V2_contig_12238,Cp_V2_contig_9341,.,0.9508,2.4e-05
Cp_V2_contig_12238,Cp_V2_contig_6801,.,0.9506,2.5e-05
Cp_V2_contig_12238,Cp_V2_contig_12798,.,0.9505,2.5e-05
Cp_V2_contig_12238,Cp_V2_contig_5488,.,0.9502,2.5e-05
Cp_V2_contig_12238,Cp_V2_contig_25567,.,0.9501,2.6e-05
Cp_V2_contig_12238,Cp_V2_contig_23462,.,0.9494,2.7e-05
Cp_V2_contig_12238,Cp_V2_contig_35454,.,0.9492,2.7e-05
Cp_V2_contig_12238,Cp_V2_contig_9714,.,0.9492,2.7e-05
Cp_V2_contig_12238,Cp_V2_contig_12398,.,0.9482,3e-05
Cp_V2_contig_12238,Cp_V2_contig_8765,.,0.9482,3e-05
Cp_V2_contig_12238,Cp_V2_contig_18344,.,0.9462,3.4e-05
Cp_V2_contig_12238,Cp_V2_contig_22400,.,0.9461,3.5e-05
Cp_V2_contig_12238,Cp_V2_contig_15547,.,0.9458,3.5e-05
