gene_id,mean_hydrated,mean_dehydrated,mean_rehydrated,log2FC,pvalue,cp_hyd_r1,cp_hyd_r3,cp_wc2_r2,cp_wc2_r3,cp_wc60_r1,cp_wc60_r2,cp_wc60_r3,cp_rehyd_r1,cp_rehyd_r2,cp_rehyd_r3,padj
Cp_V2_contig_1,121.548,760.44,624.341,2.6443,0.037190013597618046,0.0,243.097,706.912,1243.076,1128.766,347.496,375.951,546.475,786.789,539.759,0.7818663273930058
Cp_V2_contig_10,29.505,46.814,36.655,0.6642,0.6684849700701209,0.0,59.01,36.901,40.795,0.0,51.562,104.81,31.663,43.552,34.75,0.9448250654666482
Cp_V2_contig_100,2920.45,2957.256,2400.942,0.0181,0.9920613683775136,0.0,5840.9,2181.922,1503.823,1363.092,5611.185,4126.26,3675.54,1840.886,1686.401,1.0
Cp_V2_contig_1000,61.736,137.049,73.503,1.1492,0.4211457038275648,0.0,123.473,89.098,129.924,313.452,51.769,101.004,81.372,93.498,45.64,0.8406649930787851
Cp_V2_contig_10000,56.324,218.276,272.338,1.9524,0.16889938489994039,0.0,112.649,222.491,403.18,394.78,59.194,11.734,283.163,298.673,235.179,0.7818663273930058
Cp_V2_contig_10004,78.854,207.668,178.381,1.3959,0.31376610737130534,0.0,157.708,85.981,149.807,61.335,375.889,365.327,398.167,61.932,75.044,0.7818663273930058
Cp_V2_contig_10006,0.0,1.884,0.0,4.3102,0.37390096630005887,0.0,0.0,0.0,0.0,0.0,9.419,0.0,0.0,0.0,0.0,0.7818663273930058
Cp_V2_contig_10008,0.0,0.0,4.906,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.292,7.425,1.0
Cp_V2_contig_1001,13.67,104.293,33.47,2.9224,0.03192547921128669,0.0,27.34,0.0,153.698,144.696,118.421,104.651,36.421,14.984,49.006,0.7818663273930058
Cp_V2_contig_10011,0.0,0.464,7.82,2.4966,0.37390096630005887,0.0,0.0,0.0,2.322,0.0,0.0,0.0,23.46,0.0,0.0,0.7818663273930058
Cp_V2_contig_10012,0.0,0.502,2.508,2.5895,0.37390096630005887,0.0,0.0,0.0,0.0,0.0,2.509,0.0,0.0,0.0,7.524,0.7818663273930058
Cp_V2_contig_10013,92.605,124.001,115.85,0.4208,0.7941126036258093,0.0,185.209,47.195,112.494,109.623,246.674,104.017,166.518,95.196,85.835,0.9862331451931678
Cp_V2_contig_10016,15.594,200.92,130.636,3.679,0.03974329778226538,0.0,31.189,115.052,379.962,321.754,70.812,117.019,23.624,166.418,201.865,0.7818663273930058
Cp_V2_contig_10017,106.074,315.178,253.351,1.5702,0.2529907870602842,0.0,212.149,346.822,487.91,596.575,86.075,58.509,14.273,389.374,356.407,0.7818663273930058
Cp_V2_contig_10021,64.903,149.21,102.01,1.1997,0.40524174586100525,0.0,129.807,156.81,132.082,138.597,100.065,218.498,94.005,118.37,93.656,0.8215155660123782
Cp_V2_contig_10023,0.0,5.719,0.0,5.8626,0.28154260365648154,0.0,0.0,0.0,4.873,23.721,0.0,0.0,0.0,0.0,0.0,0.7818663273930058
Cp_V2_contig_10025,75.968,80.865,68.085,0.09,0.9596174823836763,0.0,151.936,71.119,36.986,19.654,147.812,128.752,60.373,37.059,106.823,1.0
Cp_V2_contig_10026,6.053,0.0,0.0,-5.9433,0.5000000000000001,0.0,12.107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8811143061996468
Cp_V2_contig_10030,36.521,177.296,176.192,2.2762,0.13980576904754122,0.0,73.041,172.686,150.968,165.875,211.749,185.2,45.936,312.059,170.58,0.7818663273930058
Cp_V2_contig_10037,49.67,63.474,73.704,0.3532,0.8322836636587739,0.0,99.339,10.657,30.543,37.445,137.087,101.638,120.582,71.522,29.008,0.9992334599856079
Cp_V2_contig_1004,26.499,93.843,134.062,1.8204,0.18766292849950186,0.0,52.997,212.885,88.622,105.049,41.886,20.772,13.781,191.49,196.915,0.7818663273930058
Cp_V2_contig_10040,2.967,0.0,0.0,-4.9385,0.5000000000000001,0.0,5.933,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8811143061996468
Cp_V2_contig_10043,77.571,208.819,191.207,1.4275,0.332958003331405,0.0,155.143,240.76,206.087,235.174,197.965,164.112,168.815,232.146,172.66,0.7818663273930058
Cp_V2_contig_10046,27.581,27.657,39.591,0.004,0.9982867144640818,0.0,55.162,21.386,17.724,0.0,66.034,33.139,61.357,10.588,46.828,1.0
Cp_V2_contig_10047,32.792,38.078,20.678,0.215,0.8990853183385499,0.0,65.585,37.771,12.263,28.126,49.122,63.108,12.304,14.484,35.245,1.0
Cp_V2_contig_10048,37.082,139.516,216.211,1.9088,0.16251653902469199,0.0,74.164,247.14,227.604,169.603,30.559,22.674,96.138,340.927,211.567,0.7818663273930058
Cp_V2_contig_10049,54.079,148.073,131.827,1.4515,0.30401283391952183,0.0,108.159,204.947,187.904,127.245,84.7,135.571,112.215,169.415,113.852,0.7818663273930058
Cp_V2_contig_1005,179.396,724.507,1101.705,2.0132,0.16322773263154655,0.0,358.792,1758.398,576.826,782.783,237.668,266.86,163.073,1548.506,1593.537,0.7818663273930058
Cp_V2_contig_10058,5.091,56.923,51.729,3.4574,0.11343926485869858,0.0,10.182,18.632,63.605,153.507,14.781,34.091,59.881,40.955,54.352,0.7818663273930058
Cp_V2_contig_10059,0.0,4.716,4.695,5.5899,0.17952312199159684,0.0,0.0,10.874,0.0,12.708,0.0,0.0,0.0,14.085,0.0,0.7818663273930058
Cp_V2_contig_1006,0.0,4.435,10.153,5.503,0.09390107534192672,0.0,0.0,10.584,6.606,0.0,4.984,0.0,23.132,0.0,7.326,0.7818663273930058
Cp_V2_contig_10062,43.777,33.389,86.167,-0.3898,0.8528550748873216,0.0,87.553,68.727,37.705,0.0,47.987,12.526,109.918,98.093,50.491,1.0
Cp_V2_contig_10063,16.076,2.319,0.0,-2.7414,0.5487824613493679,0.0,32.151,0.0,4.513,0.0,7.081,0.0,0.0,0.0,0.0,0.9078846173048445
