Gene_ID,Sl_hyd_r1,Sl_hyd_r2,Sl_hyd_r3,Sl_des_r1,Sl_des_r2,Sl_des_r3,Sl_rehyd_r1,Sl_rehyd_r2,Sl_rehyd_r3
MSTRG.1,0.0,7.162661,3.492559,5.126064,4.994085,0.0,3.699383,0.0,3.602468
MSTRG.3,2.169504,5.655545,3.68191,6.450573,0.0,3.713546,0.0,5.207649,5.091651
MSTRG.2,0.0,2.020574,1.419148,4.320733,2.483055,3.565959,0.0,3.462222,4.34364
MSTRG.7,5.781504,3.424452,10.874105,16.05563,8.846451,1.68199,5.585032,4.827728,4.183879
MSTRG.8,108.844261,59.248386,29.701366,318.910522,140.100922,61.813358,91.508873,537.093567,272.206604
MSTRG.9,48.138481,23.22584,11.695021,120.340614,41.896675,17.836746,27.92873,170.638779,60.628532
MSTRG.6,0.0,2.935089,1.542043,3.232949,4.998357,3.336197,5.167984,7.49384,5.758175
MSTRG.11,3.07956,6.357199,2.568193,1.322623,1.240971,3.969047,0.0,2.063068,0.611063
MSTRG.13,217.0681,380.618347,177.013489,304.590363,374.922485,207.266296,117.699982,231.414352,200.650848
MSTRG.17,0.0,1.081679,1.192591,1.75794,4.397615,2.284245,0.0,1.088516,2.657512
MSTRG.22,18.888849,16.640856,17.552366,16.496166,12.588081,16.325027,24.324022,19.093157,20.932331
MSTRG.16,57.146709,46.211174,54.445904,74.146278,86.976189,58.839325,27.217781,72.008911,63.561539
MSTRG.10,12.916475,9.925096,23.538559,18.030104,17.921957,9.646025,21.460936,6.843958,5.942477
MSTRG.4,727.478516,793.764404,718.607056,394.856232,364.227661,458.063995,271.087708,764.772644,611.237793
MSTRG.12,3.421899,0.0,0.0,5.066167,9.743139,8.247925,5.216827,3.920782,5.289446
MSTRG.14,0.0,5.115752,3.239873,37.095783,81.870354,25.289501,49.405312,3.051959,3.540626
MSTRG.15,105.829414,110.949074,171.28627,115.580025,157.069534,147.921509,58.966053,99.001579,88.646225
MSTRG.20,4.190383,0.927603,0.891793,4.28743,1.391016,0.0,0.0,8.110653,0.0
MSTRG.18,4.900283,4.521523,2.354213,6.503485,4.240312,4.323393,2.543102,6.198939,11.067949
MSTRG.21,9.965757,9.545499,11.835253,24.119057,20.842464,18.034937,18.779907,13.586875,18.902384
