gene_id,mean_hydrated,mean_dehydrated,mean_rehydrated,log2FC,pvalue,cp_hyd_r1,cp_hyd_r3,cp_wc2_r2,cp_wc2_r3,cp_wc60_r1,cp_wc60_r2,cp_wc60_r3,cp_rehyd_r1,cp_rehyd_r2,cp_rehyd_r3,padj,score
Cp_V2_contig_551,0.0,1957.274,2353.579,14.2566,0.03918571548092181,0.0,0.0,3228.674,2728.193,3065.885,386.734,376.884,301.22,3558.706,3200.812,0.41820141781049247,155.9011520939193
Cp_V2_contig_4950,0.0,957.1,708.581,13.2246,0.04588482777801595,0.0,0.0,939.481,1698.852,1719.281,179.92,247.965,712.604,805.789,607.349,0.4469006309306122,130.97686730483994
Cp_V2_contig_43263,0.0,925.235,1033.091,13.1758,0.011666034031419605,0.0,0.0,914.969,1188.301,1566.9,445.041,510.966,0.0,1825.332,1273.942,0.2963658728731889,129.85059824446753
Cp_V2_contig_2815,0.0,922.034,878.743,13.1708,0.04901603439574633,0.0,0.0,917.049,1609.834,1709.628,168.735,204.923,0.0,1709.572,926.657,0.4478069848912935,129.7355407333646
Cp_V2_contig_6094,0.0,850.109,542.144,13.0536,0.030323648966667498,0.0,0.0,73.224,1445.238,1406.131,635.671,690.279,1626.433,0.0,0.0,0.383257853312046,127.053300784622
Cp_V2_contig_670,0.0,822.675,1016.089,13.0063,0.04997110306013369,0.0,0.0,1162.427,1280.498,1457.959,100.511,111.983,0.0,1645.016,1403.251,0.4478069848912935,125.9781294481737
Cp_V2_contig_47679,0.0,764.133,623.936,12.8998,0.032742926930297844,0.0,0.0,1228.439,1235.844,972.719,201.419,182.246,0.0,1125.027,746.781,0.39301287569348553,123.57449499743392
Cp_V2_contig_45133,0.0,761.471,1182.026,12.8948,0.04909064933090403,0.0,0.0,1388.979,1001.378,1194.395,132.719,89.884,0.0,1845.36,1700.717,0.4478069848912935,123.46176106888235
Cp_V2_contig_692,0.0,755.41,586.975,12.8832,0.04433091116911578,0.0,0.0,256.749,1270.382,1498.869,431.872,319.178,1174.218,343.099,243.608,0.4403757130807418,123.20235886313166
Cp_V2_contig_3232,0.0,693.014,325.085,12.7589,0.044649082260063484,0.0,0.0,164.367,1317.203,1226.515,374.358,382.625,894.569,0.0,80.687,0.4403757130807418,120.42897269095207
Cp_V2_contig_24180,0.0,638.138,764.131,12.6399,0.04459065131534352,0.0,0.0,1265.781,735.408,908.768,181.348,99.384,0.0,1231.788,1060.604,0.4403757130807418,117.80366140401286
Cp_V2_contig_12238,0.0,629.556,403.198,12.6203,0.03876510678948815,0.0,0.0,414.612,1055.063,1202.727,226.09,249.287,352.99,468.379,388.227,0.41684454337832316,117.37485648356444
Cp_V2_contig_15059,0.0,590.79,295.324,12.5287,0.013447346199978574,0.0,0.0,62.252,724.715,589.642,699.611,877.729,830.319,0.0,55.653,0.31543954032328586,115.37606547148116
Cp_V2_contig_8442,0.0,590.173,331.448,12.5272,0.0048907849768473,0.0,0.0,449.543,940.612,719.728,457.099,383.885,293.362,357.961,343.021,0.1785575808613053,115.34339940127587
