"gene","module"
"Cp_V2_contig_1","blue"
"Cp_V2_contig_10","turquoise"
"Cp_V2_contig_100","blue"
"Cp_V2_contig_1000","red"
"Cp_V2_contig_10000","grey60"
"Cp_V2_contig_10004","paleturquoise"
"Cp_V2_contig_1001","orange"
"Cp_V2_contig_10013","cyan"
"Cp_V2_contig_10016","red"
"Cp_V2_contig_10017","lightgreen"
"Cp_V2_contig_10021","blue"
"Cp_V2_contig_10025","salmon"
"Cp_V2_contig_10030","red"
"Cp_V2_contig_10037","green"
"Cp_V2_contig_1004","black"
"Cp_V2_contig_10043","blue"
"Cp_V2_contig_10046","turquoise"
"Cp_V2_contig_10047","turquoise"
"Cp_V2_contig_10048","red"
"Cp_V2_contig_10049","grey60"
"Cp_V2_contig_1005","blue"
"Cp_V2_contig_10058","darkgrey"
"Cp_V2_contig_10062","brown"
"Cp_V2_contig_10070","purple"
"Cp_V2_contig_10071","grey60"
"Cp_V2_contig_10089","pink"
"Cp_V2_contig_101","turquoise"
"Cp_V2_contig_10104","purple"
"Cp_V2_contig_10112","green"
"Cp_V2_contig_10120","red"
"Cp_V2_contig_10121","royalblue"
"Cp_V2_contig_1013","blue"
"Cp_V2_contig_10140","pink"
"Cp_V2_contig_10146","blue"
"Cp_V2_contig_10148","lightgreen"
"Cp_V2_contig_10162","lightgreen"
"Cp_V2_contig_10164","blue"
"Cp_V2_contig_10166","lightgreen"
"Cp_V2_contig_1017","cyan"
"Cp_V2_contig_10172","green"
"Cp_V2_contig_10173","purple"
"Cp_V2_contig_10176","yellow"
"Cp_V2_contig_1018","lightgreen"
"Cp_V2_contig_10186","pink"
"Cp_V2_contig_10191","yellow"
"Cp_V2_contig_10194","darkgreen"
"Cp_V2_contig_10199","darkorange"
"Cp_V2_contig_102","darkgreen"
"Cp_V2_contig_10201","lightyellow"
"Cp_V2_contig_10206","brown"
"Cp_V2_contig_1021","blue"
"Cp_V2_contig_10214","greenyellow"
"Cp_V2_contig_10215","black"
"Cp_V2_contig_10225","turquoise"
"Cp_V2_contig_10226","yellow"
"Cp_V2_contig_10230","royalblue"
"Cp_V2_contig_10235","turquoise"
"Cp_V2_contig_10238","lightgreen"
"Cp_V2_contig_10239","cyan"
"Cp_V2_contig_1024","turquoise"
"Cp_V2_contig_10242","brown"
"Cp_V2_contig_10245","greenyellow"
"Cp_V2_contig_10254","brown"
"Cp_V2_contig_10260","blue"
"Cp_V2_contig_10267","purple"
"Cp_V2_contig_10272","black"
"Cp_V2_contig_10274","grey60"
"Cp_V2_contig_10281","pink"
"Cp_V2_contig_10284","yellow"
"Cp_V2_contig_10286","brown"
"Cp_V2_contig_1029","blue"
"Cp_V2_contig_103","yellow"
"Cp_V2_contig_10301","blue"
"Cp_V2_contig_10304","orange"
"Cp_V2_contig_10305","green"
"Cp_V2_contig_10306","cyan"
"Cp_V2_contig_10309","turquoise"
"Cp_V2_contig_10311","lightgreen"
"Cp_V2_contig_10314","black"
"Cp_V2_contig_10316","greenyellow"
"Cp_V2_contig_10338","brown"
"Cp_V2_contig_10340","tan"
"Cp_V2_contig_10346","royalblue"
"Cp_V2_contig_10347","blue"
"Cp_V2_contig_10350","turquoise"
"Cp_V2_contig_10351","blue"
"Cp_V2_contig_10352","red"
"Cp_V2_contig_10354","purple"
"Cp_V2_contig_10356","brown"
