Transcript_ID	Length	Longest_ORF	Coding_Score	Classification
Cp_V2_contig_1	1550	303	0.195	lncRNA
Cp_V2_contig_2	1524	219	0.144	lncRNA
Cp_V2_contig_3	344	90	0.262	lncRNA
Cp_V2_contig_4	396	0	0.000	lncRNA
Cp_V2_contig_5	982	732	0.745	coding
Cp_V2_contig_6	1973	993	0.503	coding
Cp_V2_contig_7	7253	372	0.051	lncRNA
Cp_V2_contig_8	1731	390	0.225	lncRNA
Cp_V2_contig_9	1132	882	0.779	coding
Cp_V2_contig_10	723	159	0.220	lncRNA
Cp_V2_contig_11	1246	123	0.099	lncRNA
Cp_V2_contig_12	2478	225	0.091	lncRNA
Cp_V2_contig_13	2294	1812	0.790	coding
Cp_V2_contig_14	2406	2136	0.888	coding
Cp_V2_contig_15	964	699	0.725	coding
Cp_V2_contig_16	1046	309	0.295	lncRNA
Cp_V2_contig_17	702	672	0.957	coding
Cp_V2_contig_18	1033	84	0.081	lncRNA
Cp_V2_contig_19	8176	315	0.039	lncRNA
Cp_V2_contig_20	748	492	0.658	coding
Cp_V2_contig_21	2731	231	0.085	lncRNA
Cp_V2_contig_22	782	207	0.265	lncRNA
Cp_V2_contig_23	1705	1260	0.739	coding
Cp_V2_contig_24	2324	909	0.391	lncRNA
Cp_V2_contig_25	1085	963	0.888	coding
Cp_V2_contig_26	1408	102	0.072	lncRNA
Cp_V2_contig_27	875	168	0.192	lncRNA
Cp_V2_contig_28	625	132	0.211	lncRNA
Cp_V2_contig_29	1153	669	0.580	coding
Cp_V2_contig_30	577	129	0.224	lncRNA
Cp_V2_contig_31	883	150	0.170	lncRNA
Cp_V2_contig_32	553	174	0.315	lncRNA
Cp_V2_contig_33	625	90	0.144	lncRNA
Cp_V2_contig_34	726	495	0.682	coding
Cp_V2_contig_35	349	249	0.713	coding
Cp_V2_contig_36	915	219	0.239	lncRNA
Cp_V2_contig_37	634	93	0.147	lncRNA
Cp_V2_contig_38	453	228	0.503	coding
Cp_V2_contig_39	5386	555	0.103	lncRNA
Cp_V2_contig_40	488	102	0.209	lncRNA
Cp_V2_contig_41	773	258	0.334	lncRNA
Cp_V2_contig_42	421	60	0.143	lncRNA
Cp_V2_contig_43	1570	1026	0.654	coding
Cp_V2_contig_44	420	42	0.100	lncRNA
Cp_V2_contig_45	409	114	0.279	lncRNA
Cp_V2_contig_46	544	150	0.276	lncRNA
Cp_V2_contig_47	498	273	0.548	coding
Cp_V2_contig_48	1008	252	0.250	lncRNA
Cp_V2_contig_49	1691	171	0.101	lncRNA
Cp_V2_contig_50	446	75	0.168	lncRNA
Cp_V2_contig_51	334	186	0.557	coding
Cp_V2_contig_52	501	126	0.251	lncRNA
Cp_V2_contig_53	1780	1308	0.735	coding
Cp_V2_contig_54	720	303	0.421	lncRNA
Cp_V2_contig_55	2839	375	0.132	lncRNA
Cp_V2_contig_56	1540	1488	0.966	coding
Cp_V2_contig_57	763	375	0.491	lncRNA
Cp_V2_contig_58	924	225	0.244	lncRNA
Cp_V2_contig_59	5596	1476	0.264	lncRNA
Cp_V2_contig_60	1808	1437	0.795	coding
Cp_V2_contig_61	776	279	0.360	lncRNA
Cp_V2_contig_62	1692	138	0.082	lncRNA
Cp_V2_contig_63	491	117	0.238	lncRNA
Cp_V2_contig_64	819	204	0.249	lncRNA
Cp_V2_contig_65	663	444	0.670	coding
Cp_V2_contig_66	342	69	0.202	lncRNA
Cp_V2_contig_67	401	0	0.000	lncRNA
Cp_V2_contig_68	331	186	0.562	coding
Cp_V2_contig_69	402	303	0.754	coding
Cp_V2_contig_70	320	120	0.375	lncRNA
Cp_V2_contig_71	2281	141	0.062	lncRNA
Cp_V2_contig_72	895	93	0.104	lncRNA
Cp_V2_contig_73	628	168	0.268	lncRNA
Cp_V2_contig_74	1790	1644	0.918	coding
Cp_V2_contig_75	409	303	0.741	coding
Cp_V2_contig_76	715	462	0.646	coding
Cp_V2_contig_77	399	69	0.173	lncRNA
Cp_V2_contig_78	1174	228	0.194	lncRNA
Cp_V2_contig_79	1367	906	0.663	coding
Cp_V2_contig_80	1355	300	0.221	lncRNA
Cp_V2_contig_81	708	555	0.784	coding
Cp_V2_contig_82	661	207	0.313	lncRNA
Cp_V2_contig_83	335	111	0.331	lncRNA
Cp_V2_contig_84	4557	669	0.147	lncRNA
Cp_V2_contig_85	876	177	0.202	lncRNA
Cp_V2_contig_86	635	177	0.279	lncRNA
Cp_V2_contig_87	1308	1227	0.938	coding
Cp_V2_contig_88	4382	312	0.071	lncRNA
Cp_V2_contig_89	2237	1017	0.455	lncRNA
Cp_V2_contig_90	728	117	0.161	lncRNA
Cp_V2_contig_91	2033	399	0.196	lncRNA
Cp_V2_contig_92	668	93	0.139	lncRNA
Cp_V2_contig_93	1048	144	0.137	lncRNA
Cp_V2_contig_94	1013	795	0.785	coding
Cp_V2_contig_95	392	78	0.199	lncRNA
Cp_V2_contig_96	1448	939	0.648	coding
Cp_V2_contig_97	309	108	0.350	lncRNA
Cp_V2_contig_98	1064	363	0.341	lncRNA
Cp_V2_contig_99	455	126	0.277	lncRNA
Cp_V2_contig_100	627	174	0.278	lncRNA
Cp_V2_contig_101	1976	225	0.114	lncRNA
Cp_V2_contig_102	635	54	0.085	lncRNA
Cp_V2_contig_103	684	474	0.693	coding
Cp_V2_contig_104	873	678	0.777	coding
Cp_V2_contig_105	1371	63	0.046	lncRNA
Cp_V2_contig_106	401	81	0.202	lncRNA
Cp_V2_contig_107	452	12	0.027	lncRNA
Cp_V2_contig_108	2213	186	0.084	lncRNA
Cp_V2_contig_109	532	51	0.096	lncRNA
Cp_V2_contig_110	849	546	0.643	coding
Cp_V2_contig_111	5292	483	0.091	lncRNA
Cp_V2_contig_112	436	96	0.220	lncRNA
Cp_V2_contig_113	1070	831	0.777	coding
Cp_V2_contig_114	525	81	0.154	lncRNA
Cp_V2_contig_115	1209	237	0.196	lncRNA
Cp_V2_contig_116	454	321	0.707	coding
Cp_V2_contig_117	1367	174	0.127	lncRNA
Cp_V2_contig_118	651	117	0.180	lncRNA
Cp_V2_contig_119	829	54	0.065	lncRNA
Cp_V2_contig_120	1142	153	0.134	lncRNA
Cp_V2_contig_121	1872	234	0.125	lncRNA
Cp_V2_contig_122	635	27	0.043	lncRNA
Cp_V2_contig_123	1001	219	0.219	lncRNA
Cp_V2_contig_124	567	195	0.344	lncRNA
Cp_V2_contig_125	338	45	0.133	lncRNA
Cp_V2_contig_126	1757	1503	0.855	coding
Cp_V2_contig_127	2142	1980	0.924	coding
Cp_V2_contig_128	4794	369	0.077	lncRNA
Cp_V2_contig_129	828	711	0.859	coding
Cp_V2_contig_130	3590	435	0.121	lncRNA
Cp_V2_contig_131	984	480	0.488	lncRNA
Cp_V2_contig_132	468	150	0.321	lncRNA
Cp_V2_contig_133	1573	159	0.101	lncRNA
Cp_V2_contig_134	583	48	0.082	lncRNA
Cp_V2_contig_135	671	195	0.291	lncRNA
Cp_V2_contig_136	1481	1263	0.853	coding
Cp_V2_contig_137	1584	135	0.085	lncRNA
Cp_V2_contig_138	1443	1284	0.890	coding
Cp_V2_contig_139	327	129	0.394	lncRNA
Cp_V2_contig_140	581	141	0.243	lncRNA
Cp_V2_contig_141	463	87	0.188	lncRNA
Cp_V2_contig_142	7602	2190	0.288	lncRNA
Cp_V2_contig_143	3584	150	0.042	lncRNA
Cp_V2_contig_144	724	237	0.327	lncRNA
Cp_V2_contig_145	1033	60	0.058	lncRNA
Cp_V2_contig_146	2622	246	0.094	lncRNA
Cp_V2_contig_147	590	6	0.010	lncRNA
Cp_V2_contig_148	305	3	0.010	lncRNA
Cp_V2_contig_149	1073	111	0.103	lncRNA
Cp_V2_contig_150	898	522	0.581	coding
Cp_V2_contig_151	2206	120	0.054	lncRNA
Cp_V2_contig_152	1435	192	0.134	lncRNA
Cp_V2_contig_153	1142	888	0.778	coding
Cp_V2_contig_154	434	93	0.214	lncRNA
Cp_V2_contig_155	751	585	0.779	coding
Cp_V2_contig_156	377	120	0.318	lncRNA
Cp_V2_contig_157	893	162	0.181	lncRNA
Cp_V2_contig_158	755	153	0.203	lncRNA
Cp_V2_contig_159	431	123	0.285	lncRNA
Cp_V2_contig_160	853	462	0.542	coding
Cp_V2_contig_161	873	153	0.175	lncRNA
Cp_V2_contig_162	3180	333	0.105	lncRNA
Cp_V2_contig_163	594	444	0.747	coding
Cp_V2_contig_164	1173	159	0.136	lncRNA
Cp_V2_contig_165	2073	420	0.203	lncRNA
Cp_V2_contig_166	839	9	0.011	lncRNA
Cp_V2_contig_167	559	168	0.301	lncRNA
Cp_V2_contig_168	1052	57	0.054	lncRNA
Cp_V2_contig_169	3462	243	0.070	lncRNA
Cp_V2_contig_170	1648	192	0.117	lncRNA
Cp_V2_contig_171	680	591	0.869	coding
Cp_V2_contig_172	395	0	0.000	lncRNA
Cp_V2_contig_173	11931	5553	0.465	lncRNA
Cp_V2_contig_174	1063	162	0.152	lncRNA
Cp_V2_contig_175	315	96	0.305	lncRNA
Cp_V2_contig_176	1608	1479	0.920	coding
Cp_V2_contig_177	1698	180	0.106	lncRNA
Cp_V2_contig_178	9269	960	0.104	lncRNA
Cp_V2_contig_179	604	69	0.114	lncRNA
Cp_V2_contig_180	643	354	0.551	coding
Cp_V2_contig_181	1850	186	0.101	lncRNA
Cp_V2_contig_182	417	126	0.302	lncRNA
Cp_V2_contig_183	779	141	0.181	lncRNA
Cp_V2_contig_184	698	222	0.318	lncRNA
Cp_V2_contig_185	320	207	0.647	coding
Cp_V2_contig_186	335	69	0.206	lncRNA
Cp_V2_contig_187	613	90	0.147	lncRNA
Cp_V2_contig_188	795	594	0.747	coding
Cp_V2_contig_189	2694	252	0.094	lncRNA
Cp_V2_contig_190	570	15	0.026	lncRNA
Cp_V2_contig_191	1361	129	0.095	lncRNA
Cp_V2_contig_192	2675	336	0.126	lncRNA
Cp_V2_contig_193	2511	2142	0.853	coding
Cp_V2_contig_194	635	138	0.217	lncRNA
Cp_V2_contig_195	826	696	0.843	coding
Cp_V2_contig_196	634	135	0.213	lncRNA
Cp_V2_contig_197	1706	1674	0.981	coding
Cp_V2_contig_198	858	141	0.164	lncRNA
Cp_V2_contig_199	1390	159	0.114	lncRNA
Cp_V2_contig_200	7385	6363	0.862	coding
