#ID	peptide_length	Fickett_score	pI	ORF_integrity	coding_probability	label
MSTRG.3546.1	255	0.43896	5.77606201172	-1	0.427376	noncoding
MSTRG.3546.1(reverse)	20	0.40787	5.00738525391	1	0.00720471	noncoding
MSTRG.4356.1	88	0.46469	6.27313232422	1	0.351247	noncoding
MSTRG.4356.1(reverse)	118	0.44095	10.5534057617	1	0.715386	coding
MSTRG.6238.1	112	0.44012	8.83477783203	1	0.629919	coding
MSTRG.6238.1(reverse)	119	0.45663	8.95758056641	1	0.780977	coding
MSTRG.14801.1	36	0.35346	8.93841552734	1	0.0110196	noncoding
MSTRG.14801.1(reverse)	19	0.39213	5.89813232422	-1	0.0143993	noncoding
MSTRG.15111.1	92	0.38807	8.70928955078	1	0.188274	noncoding
MSTRG.15111.1(reverse)	55	0.38702	11.4838256836	1	0.04448	noncoding
MSTRG.15111.2	63	0.40641	10.903137207	1	0.0801518	noncoding
MSTRG.15111.2(reverse)	50	0.37311	9.00335693359	1	0.0240364	noncoding
MSTRG.15112.1	343	0.45971	6.67755126953	1	1	coding
MSTRG.15112.1(reverse)	61	0.41073	11.9125366211	1	0.0651396	noncoding
MSTRG.15115.1	92	0.38807	8.70928955078	1	0.188274	noncoding
MSTRG.15115.1(reverse)	55	0.39038	11.4838256836	1	0.0459411	noncoding
MSTRG.15115.2	63	0.40641	10.903137207	1	0.0801518	noncoding
MSTRG.15115.2(reverse)	50	0.37311	9.00335693359	1	0.0240364	noncoding
MSTRG.18335.1	186	0.47198	6.09808349609	-1	0.209824	noncoding
MSTRG.18335.1(reverse)	42	0.42997	6.69769287109	1	0.0203186	noncoding
MSTRG.20318.1	14	0.45042	12.0084838867	-1	0.142563	noncoding
MSTRG.20318.1(reverse)	35	0.43922	5.87689208984	-1	0.0169922	noncoding
MSTRG.22697.1	374	0.37857	10.3947143555	-1	0.358874	noncoding
MSTRG.22697.1(reverse)	175	0.36199	11.8681030273	1	0.642527	coding
MSTRG.22821.1	54	0.43233	7.76190185547	-1	0.0343233	noncoding
MSTRG.22821.1(reverse)	41	0.44582	12.3696899414	1	0.0420911	noncoding
MSTRG.25755.1	94	0.41507	6.89251708984	-1	0.0477249	noncoding
MSTRG.25755.1(reverse)	95	0.43575	9.51629638672	1	0.393527	noncoding
MSTRG.26288.1	17	0.44976	9.50006103516	1	0.010813	noncoding
MSTRG.26288.1(reverse)	58	0.46428	10.0162963867	-1	0.0942737	noncoding
MSTRG.26298.1	42	0.44722	8.84112548828	1	0.0326118	noncoding
MSTRG.26298.1(reverse)	61	0.47441	10.0162963867	-1	0.0972571	noncoding
