Gene ID	Gene Name	Reference	Strand	Start	End	Coverage	FPKM	TPM
Cp_V2_contig_5408	-	Cp_V2_contig_5408	+	1	1000	5.434000	215199.390625	223492.640625
Cp_V2_contig_11487	-	Cp_V2_contig_11487	+	1	1000	2.804000	111045.109375	115324.507812
Cp_V2_contig_15086	-	Cp_V2_contig_15086	+	1	1000	3.986000	157855.140625	163938.468750
Cp_V2_contig_18404	-	Cp_V2_contig_18404	+	1	1000	1.476000	58453.128906	60705.765625
Cp_V2_contig_23905	-	Cp_V2_contig_23905	+	1	1000	7.988000	316343.906250	328535.000000
Cp_V2_contig_43851	-	Cp_V2_contig_43851	+	1	1000	2.626000	103995.875000	108003.617188
Cp_V2_contig_1	.	Cp_V2_contig_1	+	1	1000	0.0	0.0	0.0
Cp_V2_contig_10	.	Cp_V2_contig_10	+	1	1000	0.0	0.0	0.0
Cp_V2_contig_100	.	Cp_V2_contig_100	+	1	1000	0.0	0.0	0.0
Cp_V2_contig_1000	.	Cp_V2_contig_1000	+	1	1000	0.0	0.0	0.0
Cp_V2_contig_10000	.	Cp_V2_contig_10000	+	1	1000	0.0	0.0	0.0
Cp_V2_contig_10001	.	Cp_V2_contig_10001	+	1	1000	0.0	0.0	0.0
Cp_V2_contig_10002	.	Cp_V2_contig_10002	+	1	1000	0.0	0.0	0.0
Cp_V2_contig_10003	.	Cp_V2_contig_10003	+	1	1000	0.0	0.0	0.0
Cp_V2_contig_10004	.	Cp_V2_contig_10004	+	1	1000	0.0	0.0	0.0
Cp_V2_contig_10005	.	Cp_V2_contig_10005	+	1	1000	0.0	0.0	0.0
Cp_V2_contig_10006	.	Cp_V2_contig_10006	+	1	1000	0.0	0.0	0.0
Cp_V2_contig_10007	.	Cp_V2_contig_10007	+	1	1000	0.0	0.0	0.0
Cp_V2_contig_10008	.	Cp_V2_contig_10008	+	1	1000	0.0	0.0	0.0
Cp_V2_contig_10009	.	Cp_V2_contig_10009	+	1	1000	0.0	0.0	0.0
Cp_V2_contig_1001	.	Cp_V2_contig_1001	+	1	1000	0.0	0.0	0.0
Cp_V2_contig_10010	.	Cp_V2_contig_10010	+	1	1000	0.0	0.0	0.0
Cp_V2_contig_10011	.	Cp_V2_contig_10011	+	1	1000	0.0	0.0	0.0
Cp_V2_contig_10012	.	Cp_V2_contig_10012	+	1	1000	0.0	0.0	0.0
Cp_V2_contig_10013	.	Cp_V2_contig_10013	+	1	1000	0.0	0.0	0.0
Cp_V2_contig_10014	.	Cp_V2_contig_10014	+	1	1000	0.0	0.0	0.0
Cp_V2_contig_10015	.	Cp_V2_contig_10015	+	1	1000	0.0	0.0	0.0
Cp_V2_contig_10016	.	Cp_V2_contig_10016	+	1	1000	0.0	0.0	0.0
Cp_V2_contig_10017	.	Cp_V2_contig_10017	+	1	1000	0.0	0.0	0.0
Cp_V2_contig_10018	.	Cp_V2_contig_10018	+	1	1000	0.0	0.0	0.0
Cp_V2_contig_10019	.	Cp_V2_contig_10019	+	1	1000	0.0	0.0	0.0
Cp_V2_contig_1002	.	Cp_V2_contig_1002	+	1	1000	0.0	0.0	0.0
Cp_V2_contig_10020	.	Cp_V2_contig_10020	+	1	1000	0.0	0.0	0.0
Cp_V2_contig_10021	.	Cp_V2_contig_10021	+	1	1000	0.0	0.0	0.0
Cp_V2_contig_10022	.	Cp_V2_contig_10022	+	1	1000	0.0	0.0	0.0
Cp_V2_contig_10023	.	Cp_V2_contig_10023	+	1	1000	0.0	0.0	0.0
Cp_V2_contig_10024	.	Cp_V2_contig_10024	+	1	1000	0.0	0.0	0.0
Cp_V2_contig_10025	.	Cp_V2_contig_10025	+	1	1000	0.0	0.0	0.0
Cp_V2_contig_10026	.	Cp_V2_contig_10026	+	1	1000	0.0	0.0	0.0
Cp_V2_contig_10027	.	Cp_V2_contig_10027	+	1	1000	0.0	0.0	0.0
Cp_V2_contig_10028	.	Cp_V2_contig_10028	+	1	1000	0.0	0.0	0.0
Cp_V2_contig_10029	.	Cp_V2_contig_10029	+	1	1000	0.0	0.0	0.0
Cp_V2_contig_1003	.	Cp_V2_contig_1003	+	1	1000	0.0	0.0	0.0
Cp_V2_contig_10030	.	Cp_V2_contig_10030	+	1	1000	0.0	0.0	0.0
Cp_V2_contig_10031	.	Cp_V2_contig_10031	+	1	1000	0.0	0.0	0.0
Cp_V2_contig_10032	.	Cp_V2_contig_10032	+	1	1000	0.0	0.0	0.0
Cp_V2_contig_10033	.	Cp_V2_contig_10033	+	1	1000	0.0	0.0	0.0
Cp_V2_contig_10034	.	Cp_V2_contig_10034	+	1	1000	0.0	0.0	0.0
Cp_V2_contig_10035	.	Cp_V2_contig_10035	+	1	1000	0.0	0.0	0.0
Cp_V2_contig_10036	.	Cp_V2_contig_10036	+	1	1000	0.0	0.0	0.0
Cp_V2_contig_10037	.	Cp_V2_contig_10037	+	1	1000	0.0	0.0	0.0
Cp_V2_contig_10038	.	Cp_V2_contig_10038	+	1	1000	0.0	0.0	0.0
Cp_V2_contig_10039	.	Cp_V2_contig_10039	+	1	1000	0.0	0.0	0.0
Cp_V2_contig_1004	.	Cp_V2_contig_1004	+	1	1000	0.0	0.0	0.0
Cp_V2_contig_10040	.	Cp_V2_contig_10040	+	1	1000	0.0	0.0	0.0
Cp_V2_contig_10041	.	Cp_V2_contig_10041	+	1	1000	0.0	0.0	0.0
Cp_V2_contig_10042	.	Cp_V2_contig_10042	+	1	1000	0.0	0.0	0.0
Cp_V2_contig_10043	.	Cp_V2_contig_10043	+	1	1000	0.0	0.0	0.0
Cp_V2_contig_10044	.	Cp_V2_contig_10044	+	1	1000	0.0	0.0	0.0
Cp_V2_contig_10045	.	Cp_V2_contig_10045	+	1	1000	0.0	0.0	0.0
Cp_V2_contig_10046	.	Cp_V2_contig_10046	+	1	1000	0.0	0.0	0.0
Cp_V2_contig_10047	.	Cp_V2_contig_10047	+	1	1000	0.0	0.0	0.0
Cp_V2_contig_10048	.	Cp_V2_contig_10048	+	1	1000	0.0	0.0	0.0
Cp_V2_contig_10049	.	Cp_V2_contig_10049	+	1	1000	0.0	0.0	0.0
Cp_V2_contig_1005	.	Cp_V2_contig_1005	+	1	1000	0.0	0.0	0.0
Cp_V2_contig_10050	.	Cp_V2_contig_10050	+	1	1000	0.0	0.0	0.0
Cp_V2_contig_10051	.	Cp_V2_contig_10051	+	1	1000	0.0	0.0	0.0
Cp_V2_contig_10052	.	Cp_V2_contig_10052	+	1	1000	0.0	0.0	0.0
Cp_V2_contig_10053	.	Cp_V2_contig_10053	+	1	1000	0.0	0.0	0.0
Cp_V2_contig_10054	.	Cp_V2_contig_10054	+	1	1000	0.0	0.0	0.0
Cp_V2_contig_10055	.	Cp_V2_contig_10055	+	1	1000	0.0	0.0	0.0
Cp_V2_contig_10056	.	Cp_V2_contig_10056	+	1	1000	0.0	0.0	0.0
Cp_V2_contig_10057	.	Cp_V2_contig_10057	+	1	1000	0.0	0.0	0.0
Cp_V2_contig_10058	.	Cp_V2_contig_10058	+	1	1000	0.0	0.0	0.0
Cp_V2_contig_10059	.	Cp_V2_contig_10059	+	1	1000	0.0	0.0	0.0
Cp_V2_contig_1006	.	Cp_V2_contig_1006	+	1	1000	0.0	0.0	0.0
Cp_V2_contig_10060	.	Cp_V2_contig_10060	+	1	1000	0.0	0.0	0.0
Cp_V2_contig_10061	.	Cp_V2_contig_10061	+	1	1000	0.0	0.0	0.0
Cp_V2_contig_10062	.	Cp_V2_contig_10062	+	1	1000	0.0	0.0	0.0
Cp_V2_contig_10063	.	Cp_V2_contig_10063	+	1	1000	0.0	0.0	0.0
Cp_V2_contig_10064	.	Cp_V2_contig_10064	+	1	1000	0.0	0.0	0.0
Cp_V2_contig_10065	.	Cp_V2_contig_10065	+	1	1000	0.0	0.0	0.0
Cp_V2_contig_10066	.	Cp_V2_contig_10066	+	1	1000	0.0	0.0	0.0
Cp_V2_contig_10067	.	Cp_V2_contig_10067	+	1	1000	0.0	0.0	0.0
Cp_V2_contig_10068	.	Cp_V2_contig_10068	+	1	1000	0.0	0.0	0.0
Cp_V2_contig_10069	.	Cp_V2_contig_10069	+	1	1000	0.0	0.0	0.0
Cp_V2_contig_1007	.	Cp_V2_contig_1007	+	1	1000	0.0	0.0	0.0
Cp_V2_contig_10070	.	Cp_V2_contig_10070	+	1	1000	0.0	0.0	0.0
Cp_V2_contig_10071	.	Cp_V2_contig_10071	+	1	1000	0.0	0.0	0.0
Cp_V2_contig_10072	.	Cp_V2_contig_10072	+	1	1000	0.0	0.0	0.0
Cp_V2_contig_10073	.	Cp_V2_contig_10073	+	1	1000	0.0	0.0	0.0
Cp_V2_contig_10074	.	Cp_V2_contig_10074	+	1	1000	0.0	0.0	0.0
Cp_V2_contig_10075	.	Cp_V2_contig_10075	+	1	1000	0.0	0.0	0.0
Cp_V2_contig_10076	.	Cp_V2_contig_10076	+	1	1000	0.0	0.0	0.0
Cp_V2_contig_10077	.	Cp_V2_contig_10077	+	1	1000	0.0	0.0	0.0
Cp_V2_contig_10078	.	Cp_V2_contig_10078	+	1	1000	0.0	0.0	0.0
Cp_V2_contig_10079	.	Cp_V2_contig_10079	+	1	1000	0.0	0.0	0.0
Cp_V2_contig_1008	.	Cp_V2_contig_1008	+	1	1000	0.0	0.0	0.0
Cp_V2_contig_10080	.	Cp_V2_contig_10080	+	1	1000	0.0	0.0	0.0
Cp_V2_contig_10081	.	Cp_V2_contig_10081	+	1	1000	0.0	0.0	0.0
Cp_V2_contig_10082	.	Cp_V2_contig_10082	+	1	1000	0.0	0.0	0.0
Cp_V2_contig_10083	.	Cp_V2_contig_10083	+	1	1000	0.0	0.0	0.0
Cp_V2_contig_10084	.	Cp_V2_contig_10084	+	1	1000	0.0	0.0	0.0
Cp_V2_contig_10085	.	Cp_V2_contig_10085	+	1	1000	0.0	0.0	0.0
Cp_V2_contig_10086	.	Cp_V2_contig_10086	+	1	1000	0.0	0.0	0.0
Cp_V2_contig_10087	.	Cp_V2_contig_10087	+	1	1000	0.0	0.0	0.0
Cp_V2_contig_10088	.	Cp_V2_contig_10088	+	1	1000	0.0	0.0	0.0
Cp_V2_contig_10089	.	Cp_V2_contig_10089	+	1	1000	0.0	0.0	0.0
Cp_V2_contig_1009	.	Cp_V2_contig_1009	+	1	1000	0.0	0.0	0.0
Cp_V2_contig_10090	.	Cp_V2_contig_10090	+	1	1000	0.0	0.0	0.0
Cp_V2_contig_10091	.	Cp_V2_contig_10091	+	1	1000	0.0	0.0	0.0
Cp_V2_contig_10092	.	Cp_V2_contig_10092	+	1	1000	0.0	0.0	0.0
Cp_V2_contig_10093	.	Cp_V2_contig_10093	+	1	1000	0.0	0.0	0.0
Cp_V2_contig_10094	.	Cp_V2_contig_10094	+	1	1000	0.0	0.0	0.0
Cp_V2_contig_10095	.	Cp_V2_contig_10095	+	1	1000	0.0	0.0	0.0
Cp_V2_contig_10096	.	Cp_V2_contig_10096	+	1	1000	0.0	0.0	0.0
Cp_V2_contig_10097	.	Cp_V2_contig_10097	+	1	1000	0.0	0.0	0.0
Cp_V2_contig_10098	.	Cp_V2_contig_10098	+	1	1000	0.0	0.0	0.0
Cp_V2_contig_10099	.	Cp_V2_contig_10099	+	1	1000	0.0	0.0	0.0
Cp_V2_contig_101	.	Cp_V2_contig_101	+	1	1000	0.0	0.0	0.0
Cp_V2_contig_1010	.	Cp_V2_contig_1010	+	1	1000	0.0	0.0	0.0
Cp_V2_contig_10100	.	Cp_V2_contig_10100	+	1	1000	0.0	0.0	0.0
