lncrna_id,partner_id,partner_name,pearson_r,pvalue,gene_description,gene_name,organism,pident,evalue,bitscore
Cp_V2_contig_12238,Cp_V2_contig_10455,.,0.9896,0.0,,,,,,
Cp_V2_contig_12238,Cp_V2_contig_13481,.,0.9771,1e-06,protein SKIP14,SKIP14,Arabidopsis thaliana,42.4,7.37e-61,206.0
Cp_V2_contig_12238,Cp_V2_contig_1105,.,0.977,1e-06,maturation protein SBDS,SBDS,Bos taurus,55.23,1.02e-84,260.0
Cp_V2_contig_12238,Cp_V2_contig_5559,.,0.9759,1e-06,domain-containing protein DSK2b,DSK2B,Arabidopsis thaliana,61.017,9.599999999999999e-165,483.0
Cp_V2_contig_12238,Cp_V2_contig_20690,.,0.9737,2e-06,protein FOR GROWTH AND FERTILITY 2,CGF2,Arabidopsis thaliana,67.638,2.5500000000000003e-129,380.0
Cp_V2_contig_12238,Cp_V2_contig_6438,.,0.9728,2e-06,,,Atriplex nummularia,87.013,5.6299999999999994e-95,277.0
Cp_V2_contig_12238,Cp_V2_contig_17427,.,0.9722,3e-06,,,,,,
Cp_V2_contig_12238,Cp_V2_contig_1013,.,0.9716,3e-06,repeat domain-containing protein 2B,AKR2B,Arabidopsis thaliana,64.553,2.3300000000000002e-148,429.0
Cp_V2_contig_12238,Cp_V2_contig_3575,.,0.9693,4e-06,translation factor SUI1 homolog,TIF,Zea mays,89.565,1.3700000000000001e-70,214.0
Cp_V2_contig_12238,Cp_V2_contig_25937,.,0.9686,4e-06,degradation protein 8 homolog,DDB_G0279265,Dictyostelium discoideum,30.597,1.16e-08,58.9
Cp_V2_contig_12238,Cp_V2_contig_16567,.,0.9665,5e-06,finger C3HC-type protein 1-like,zc3hc1,Xenopus laevis,26.347,6.93e-06,53.1
Cp_V2_contig_12238,Cp_V2_contig_21613,.,0.9653,6e-06,protein 1,PABN1,Arabidopsis thaliana,75.904,4.83e-72,223.0
Cp_V2_contig_12238,Cp_V2_contig_11464,.,0.9645,7e-06,ribosomal export protein NMD3,nmd3,Dictyostelium discoideum,46.049,8.68e-111,337.0
Cp_V2_contig_12238,Cp_V2_contig_13148,.,0.9626,8e-06,2-2,GGCT2;2,Arabidopsis thaliana,49.315,2.55e-10,58.5
Cp_V2_contig_12238,Cp_V2_contig_47834,.,0.9626,8e-06,protein PCC27-45,,Craterostigma plantagineum,100.0,1.36e-58,182.0
Cp_V2_contig_12238,Cp_V2_contig_6241,.,0.9623,8e-06,repressor ILP1,ILP1,Arabidopsis thaliana,46.784,3.27e-143,444.0
Cp_V2_contig_12238,Cp_V2_contig_22977,.,0.9603,1e-05,protectant protein Lea14 homolog,,Glycine max,62.0,2.65e-61,190.0
Cp_V2_contig_12238,Cp_V2_contig_20231,.,0.9602,1e-05,"lipid transfer protein 7, mitochondrial",Stard7,Mus musculus,28.571,7.91e-10,62.8
Cp_V2_contig_12238,Cp_V2_contig_47327,.,0.9594,1.1e-05,galactinol--sucrose galactosyltransferase 2,RFS2,Arabidopsis thaliana,69.869,4.82e-102,315.0
Cp_V2_contig_12238,Cp_V2_contig_44182,.,0.9586,1.2e-05,,,,,,
Cp_V2_contig_12238,Cp_V2_contig_7514,.,0.9583,1.3e-05,D beta 1,PLDBETA1,Arabidopsis thaliana,73.29,0.0,1417.0
Cp_V2_contig_12238,Cp_V2_contig_1545,.,0.9579,1.3e-05,methionine sulfoxide reductase (Fragment),E4,Solanum lycopersicum,75.401,1.07e-103,300.0
Cp_V2_contig_12238,Cp_V2_contig_26531,.,0.9555,1.6e-05,transcription factor RAP2-1,RAP2-1,Arabidopsis thaliana,59.836,6.25e-40,138.0
Cp_V2_contig_12238,Cp_V2_contig_1,.,0.9551,1.7e-05,membrane protein PEX14,PEX14,Arabidopsis thaliana,49.045,2.86e-98,309.0
Cp_V2_contig_12238,Cp_V2_contig_28879,.,0.9546,1.8e-05,embryogenesis abundant protein 31,RAB28,Arabidopsis thaliana,66.102,6.91e-17,79.0
Cp_V2_contig_12238,Cp_V2_contig_24876,.,0.9538,1.9e-05,phospholipase domain-containing protein 2,Pnpla2,Rattus norvegicus,29.249,4.12e-18,90.5
Cp_V2_contig_12238,Cp_V2_contig_16337,.,0.9535,1.9e-05,factor 3B subunit 4,SF3B4,Homo sapiens,46.667,7.06e-17,84.0
Cp_V2_contig_12238,Cp_V2_contig_20784,.,0.9529,2e-05,L,,Sesamum indicum,73.881,5.98e-46,152.0
Cp_V2_contig_12238,Cp_V2_contig_21764,.,0.9526,2.1e-05,kinase G-2,CDKG-2,Oryza sativa subsp. japonica,71.429,5.99e-12,69.3
Cp_V2_contig_12238,Cp_V2_contig_5702,.,0.9516,2.3e-05,pre-mRNA-splicing factor ATP-dependent RNA helicase DEAH6,MEE29,Arabidopsis thaliana,76.991,7.69e-43,157.0
Cp_V2_contig_12238,Cp_V2_contig_377,.,0.9514,2.3e-05,,,,,,
Cp_V2_contig_12238,Cp_V2_contig_9341,.,0.9508,2.4e-05,protease SBT1.8,SBT1.8,Arabidopsis thaliana,59.606,1.9700000000000002e-79,257.0
Cp_V2_contig_12238,Cp_V2_contig_6801,.,0.9506,2.5e-05,,,,,,
Cp_V2_contig_12238,Cp_V2_contig_12798,.,0.9505,2.5e-05,"repeat-containing protein At5g13770, chloroplastic",At5g13770,Arabidopsis thaliana,57.143,1.55e-125,377.0
Cp_V2_contig_12238,Cp_V2_contig_5488,.,0.9502,2.5e-05,"RNA polymerases II, IV and V subunit 6A",NRPB6A,Arabidopsis thaliana,95.455,1.9499999999999997e-55,176.0
Cp_V2_contig_12238,Cp_V2_contig_25567,.,0.9501,2.6e-05,,,,,,
Cp_V2_contig_12238,Cp_V2_contig_23462,.,0.9494,2.7e-05,"LIKE EARLY STARVATION, chloroplastic",LESV,Arabidopsis thaliana,47.619,1.75e-07,55.1
Cp_V2_contig_12238,Cp_V2_contig_35454,.,0.9492,2.7e-05,,,,,,
Cp_V2_contig_12238,Cp_V2_contig_9714,.,0.9492,2.7e-05,protein-interacting protein 4,CID4,Arabidopsis thaliana,53.992,2.6800000000000002e-70,234.0
Cp_V2_contig_12238,Cp_V2_contig_12398,.,0.9482,3e-05,WRKY transcription factor 3,WRKY3,Arabidopsis thaliana,57.993,6.87e-92,293.0
Cp_V2_contig_12238,Cp_V2_contig_8765,.,0.9482,3e-05,"thiolase 2, peroxisomal",PED1,Arabidopsis thaliana,82.845,1.28e-123,363.0
Cp_V2_contig_12238,Cp_V2_contig_18344,.,0.9462,3.4e-05,splicing factor SC35,SC35,Arabidopsis thaliana,87.963,1.49e-62,201.0
Cp_V2_contig_12238,Cp_V2_contig_22400,.,0.9461,3.5e-05,embryogenesis abundant protein 46,LEA46,Arabidopsis thaliana,68.293,1.6e-11,57.0
Cp_V2_contig_12238,Cp_V2_contig_15547,.,0.9458,3.5e-05,,CUL1,Oryza sativa subsp. japonica,85.657,4.36e-145,426.0
Cp_V2_contig_12238,Cp_V2_contig_10790,.,0.9457,3.5e-05,domain-containing protein ECT2,ECT2,Arabidopsis thaliana,55.649,9.23e-170,500.0
Cp_V2_contig_12238,Cp_V2_contig_267,.,0.9456,3.6e-05,ATP-dependent RNA helicase DExH12,BRR2A,Arabidopsis thaliana,78.821,0.0,3412.0
Cp_V2_contig_12238,Cp_V2_contig_16108,.,0.9454,3.6e-05,ataxin-3 homolog,Os01g0851400,Oryza sativa subsp. japonica,60.0,6.61e-49,162.0
Cp_V2_contig_12238,Cp_V2_contig_13560,.,0.9445,3.9e-05,,,,,,
Cp_V2_contig_12238,Cp_V2_contig_1982,.,0.9442,4e-05,domain-containing protein 1,R3HDM1,Homo sapiens,32.051,3.35e-08,60.1
Cp_V2_contig_12238,Cp_V2_contig_44940,.,0.9442,4e-05,galactinol--sucrose galactosyltransferase 2,RFS2,Arabidopsis thaliana,79.592,1.22e-168,490.0
Cp_V2_contig_12238,Cp_V2_contig_5553,.,0.944,4e-05,protein RBP47B',RBP47B',Arabidopsis thaliana,62.233,7.83e-164,471.0
Cp_V2_contig_12238,Cp_V2_contig_8565,.,0.9431,4.3e-05,motif-containing protein 4,VQ4,Arabidopsis thaliana,48.705,3.17e-30,116.0
Cp_V2_contig_12238,Cp_V2_contig_2918,.,0.9426,4.4e-05,"protein At3g17800, chloroplastic",At3g17800,Arabidopsis thaliana,62.759,3.92e-55,183.0
Cp_V2_contig_12238,Cp_V2_contig_672,.,0.9416,4.8e-05,"3,5-epimerase 2",GME-2,Oryza sativa subsp. japonica,94.795,0.0,735.0
Cp_V2_contig_12238,Cp_V2_contig_19921,.,0.9415,4.8e-05,protein 130 B,SAP130B,Arabidopsis thaliana,88.316,0.0,1087.0
Cp_V2_contig_12238,Cp_V2_contig_3210,.,0.9411,4.9e-05,kinase G-2,CDKG-2,Oryza sativa subsp. japonica,58.843,0.0,621.0
Cp_V2_contig_12238,Cp_V2_contig_7848,.,0.9403,5.2e-05,synthase 11,KCS11,Arabidopsis thaliana,84.831,1.01e-104,315.0
Cp_V2_contig_12238,Cp_V2_contig_1000,.,0.9402,5.2e-05,complex subunit SWI3D,SWI3D,Arabidopsis thaliana,48.629,9.11e-145,449.0
Cp_V2_contig_12238,Cp_V2_contig_5205,.,0.9394,5.5e-05,,CUL1,Oryza sativa subsp. japonica,86.681,0.0,806.0
Cp_V2_contig_12238,Cp_V2_contig_1243,.,0.9391,5.6e-05,cytidylyltransferase 2,CCT2,Arabidopsis thaliana,76.496,3.2500000000000004e-124,358.0
Cp_V2_contig_12238,Cp_V2_contig_8206,.,0.9391,5.6e-05,protein dnaJ 49,ATJ49,Arabidopsis thaliana,65.432,9.64e-33,119.0
Cp_V2_contig_12238,Cp_V2_contig_1461,.,0.9384,5.8e-05,complex subunit 4A,ALY1,Arabidopsis thaliana,65.517,4.04e-60,189.0
Cp_V2_contig_12238,Cp_V2_contig_5282,.,0.9383,5.9e-05,,,,,,
Cp_V2_contig_12238,Cp_V2_contig_12055,.,0.938,6e-05,"lipid transfer protein 7, mitochondrial",Stard7,Mus musculus,30.0,5.11e-09,60.8
Cp_V2_contig_12238,Cp_V2_contig_22671,.,0.9376,6.2e-05,,,,,,
Cp_V2_contig_12238,Cp_V2_contig_6815,.,0.9372,6.3e-05,synthase 2,GOLS2,Solanum lycopersicum,81.362,1.65e-164,463.0
Cp_V2_contig_12238,Cp_V2_contig_6459,.,0.937,6.4e-05,domain-containing protein 1,bsdc1,Xenopus tropicalis,29.63,5.28e-14,77.0
Cp_V2_contig_12238,Cp_V2_contig_2437,.,0.9369,6.4e-05,protein type 2,pKIWI504,Actinidia deliciosa,69.231,3.52e-11,58.2
Cp_V2_contig_12238,Cp_V2_contig_21131,.,0.9368,6.5e-05,RING ZnF UBP domain-containing protein 2,BRIZ2,Arabidopsis thaliana,62.629,1.34e-178,509.0
Cp_V2_contig_12238,Cp_V2_contig_19588,.,0.9367,6.5e-05,pyruvate carrier 4,MPC4,Arabidopsis thaliana,83.333,6.41e-64,194.0
Cp_V2_contig_12238,Cp_V2_contig_7346,.,0.9367,6.5e-05,poly [ADP-ribose] polymerase RCD1,RCD1,Arabidopsis thaliana,36.789,1.17e-87,283.0
Cp_V2_contig_12238,Cp_V2_contig_1119,.,0.9366,6.5e-05,biogenesis protein BMS1 homolog,BMS1,Homo sapiens,44.85,4.4099999999999994e-152,482.0
Cp_V2_contig_12238,Cp_V2_contig_20939,.,0.936,6.8e-05,,,,,,
Cp_V2_contig_12238,Cp_V2_contig_46939,.,0.936,6.8e-05,"stress protein DSP-22, chloroplastic",DSP-22,Craterostigma plantagineum,92.453,1.03e-28,106.0
Cp_V2_contig_12238,Cp_V2_contig_23819,.,0.9356,7e-05,domain-containing CTD phosphatase,At4g06599,Arabidopsis thaliana,80.198,7.769999999999999e-172,484.0
Cp_V2_contig_12238,Cp_V2_contig_29662,.,0.9353,7.1e-05,protein At1g55000,At1g55000,Arabidopsis thaliana,62.893,2.69e-68,209.0
Cp_V2_contig_12238,Cp_V2_contig_7799,.,0.9348,7.3e-05,domain protein 4-like protein,MBD4L,Arabidopsis thaliana,59.322,1.37e-38,147.0
Cp_V2_contig_12238,Cp_V2_contig_27498,.,0.9346,7.4e-05,casein kinase II subunit alpha-2,HD6,Oryza sativa subsp. japonica,89.796,1.3e-25,94.7
Cp_V2_contig_12238,Cp_V2_contig_26277,.,0.9344,7.5e-05,,,,,,
