candidate,length_nt,gc_percent
Cp_V2_contig_551,5390,53.51
Cp_V2_contig_6671,4031,41.06
Cp_V2_contig_4950,1489,47.95
Cp_V2_contig_2815,1460,49.59
Cp_V2_contig_12238,1459,45.51
Cp_V2_contig_43263,1086,48.43
Cp_V2_contig_5534,755,42.65
Cp_V2_contig_8442,599,45.91
Cp_V2_contig_18802,597,48.07
Cp_V2_contig_15059,569,45.52
Cp_V2_contig_22145,515,42.33
Cp_V2_contig_9183,422,51.9
Cp_V2_contig_31089,374,37.7
Cp_V2_contig_7701,360,37.78
