STRG_ID,Reference_ID
STRG.1.1,Cp_V2_contig_5408
STRG.2.1,Cp_V2_contig_11487
STRG.3.1,Cp_V2_contig_15086
STRG.4.1,Cp_V2_contig_18404
STRG.5.1,Cp_V2_contig_23905
STRG.6.1,Cp_V2_contig_43851
