#ID	peptide_length	Fickett_score	pI	ORF_integrity	coding_probability	label
Cp_V2_contig_551	215	0.48511	6.91046142578	1	0.999515	coding
Cp_V2_contig_551(reverse)	156	0.46105	10.6525268555	1	0.968065	coding
Cp_V2_contig_2815	92	0.46589	4.01690673828	1	0.699907	coding
Cp_V2_contig_2815(reverse)	73	0.47255	6.72540283203	1	0.161705	noncoding
Cp_V2_contig_4950	142	0.42714	11.7387084961	1	0.775631	coding
Cp_V2_contig_4950(reverse)	46	0.42656	11.9081420898	1	0.0451343	noncoding
Cp_V2_contig_5534	217	0.38895	9.24176025391	-1	0.235356	noncoding
Cp_V2_contig_5534(reverse)	24	0.41303	4.41339111328	1	0.0138943	noncoding
Cp_V2_contig_6671	122	0.35929	3.89910888672	-1	0.0535076	noncoding
Cp_V2_contig_6671(reverse)	100	0.33929	12.4771118164	-1	0.132065	noncoding
Cp_V2_contig_7701	40	0.37121	4.66375732422	1	0.0222725	noncoding
Cp_V2_contig_7701(reverse)	12	0.37669	6.49163818359	1	1.66393e-05	noncoding
Cp_V2_contig_8442	43	0.41667	11.7240600586	1	0.036512	noncoding
Cp_V2_contig_8442(reverse)	47	0.41996	11.2713012695	1	0.0481258	noncoding
Cp_V2_contig_9183	124	0.47603	5.42877197266	-1	0.0916627	noncoding
Cp_V2_contig_9183(reverse)	30	0.44703	12.700012207	1	0.0221018	noncoding
Cp_V2_contig_12238	83	0.44871	3.57879638672	1	0.664522	coding
Cp_V2_contig_12238(reverse)	93	0.47723	11.9512329102	1	0.592721	coding
Cp_V2_contig_15059	41	0.46893	4.05377197266	1	0.0587326	noncoding
Cp_V2_contig_15059(reverse)	6	0.42753	9.50006103516	1	0.00466481	noncoding
Cp_V2_contig_18802	123	0.46474	5.54705810547	-1	0.0846727	noncoding
Cp_V2_contig_18802(reverse)	38	0.44358	12.0165405273	1	0.0414069	noncoding
Cp_V2_contig_22145	135	0.48821	5.45001220703	-1	0.110941	noncoding
Cp_V2_contig_22145(reverse)	20	0.45675	9.82452392578	1	0.0162436	noncoding
Cp_V2_contig_31089	31	0.41609	8.88568115234	1	0.0127831	noncoding
Cp_V2_contig_31089(reverse)	16	0.40866	4.63629150391	1	0.00683703	noncoding
Cp_V2_contig_43263	97	0.39522	10.7146606445	1	0.252234	noncoding
Cp_V2_contig_43263(reverse)	58	0.42325	4.05804443359	1	0.169689	noncoding
